Team,Wins,BattingAvg
New York,97,0.285
Toronto,87,0.284
Baltimore,70,0.277
Boston,86,0.269
Tampa Bay,61,0.255
Cleveland,78,0.28
Detroit,95,0.274
Chicago,90,0.28
Kansas City,62,0.271
Minnesota,96,0.287
Los Angeles,89,0.274
Texas,80,0.278
Seattle,78,0.272
Oakland,93,0.26
