Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Hyland,Harry,Y,1918,1918,F,66,156,January,2,1889,Canada
Ross,Art,Y,1918,1918,D,71,190,January,13,1886,Canada
Shore,Hamby,N,1918,1918,D,73,175,February,12,1886,Canada
Thompson,Ken,N,1918,1918,F,70,160,May,29,1881,England
Laviolette,Jack,Y,1918,1918,D,71,170,July,27,1879,Canada
Skilton,Raymie,N,1918,1918,D,70,190,September,26,1889,USA
Payer,Evariste,N,1918,1918,F,66,150,December,12,1887,Canada
O'Grady,George,N,1918,1918,D,68,175,NA,NA,NA,Canada
Brooks,Art,N,1918,1918,G,NA,NA,NA,NA,1892,Canada
Hall,Joe,Y,1918,1919,D,70,175,May,3,1882,England
Lindsay,Bert,N,1918,1919,G,67,160,July,23,1881,Canada
Crawford,Rusty,Y,1918,1919,F,71,165,November,7,1885,Canada
Marks,Jack,N,1918,1920,F,73,180,June,11,1885,Canada
Merrill,Horace,N,1918,1920,D,69,176,November,30,1885,Canada
Coughlin, John ,N,1918,1921,F,70,170,June,6,1892,Canada
Lowrey,Ed,N,1918,1921,F,66,160,August,13,1891,Canada
McDonald,Jack,N,1918,1922,F,NA,NA,February,28,1887,Canada
Bruce,Morley,N,1918,1922,D,69,170,March,7,1894,Canada
Cameron,Harry,Y,1918,1923,D,70,155,February,6,1890,Canada
Gerard,Eddie,Y,1918,1923,F,69,168,February,22,1890,Canada
Mummery,Harry,N,1918,1923,D,71,220,August,25,1889,USA
Pitre,Didier,Y,1918,1923,F,71,185,September,1,1883,Canada
Malone,Joe,Y,1918,1924,F,70,150,February,28,1890,Canada
Hebert,Sammy,N,1918,1924,G,70,145,March,31,1894,Canada
Bell,Billy,N,1918,1924,F,70,180,June,10,1891,Canada
Darragh,Jack,Y,1918,1924,F,70,168,December,4,1890,Canada
Ritchie,Dave,N,1918,1926,D,67,180,January,12,1892,Canada
Vezina,Georges,Y,1918,1926,G,66,185,January,21,1887,Canada
Skinner,Alf,N,1918,1926,F,70,180,January,26,1896,Canada
Stevens,Phil,N,1918,1926,F,71,165,February,15,1893,Canada
Geran,Gerry,N,1918,1926,F,69,180,August,3,1896,USA
Berlinquette,Louis,N,1918,1926,F,71,175,NA,NA,NA,Canada
Corbeau,Bert,N,1918,1927,D,71,200,February,9,1894,Canada
Coutu,Billy,N,1918,1927,D,71,190,March,1,1892,Canada
Adams,Jack,Y,1918,1927,F,69,175,June,14,1895,Canada
Lalonde,Newsy,Y,1918,1927,F,69,168,October,31,1888,Canada
Meeking,Harry,N,1918,1927,F,67,160,November,4,1894,Canada
Randall,Ken,N,1918,1927,F,70,180,December,14,1888,USA
Denneny, Corbett ,N,1918,1928,F,68,160,January,25,1894,Canada
Holmes,Harry,Y,1918,1928,G,70,170,February,21,1892,Canada
Denneny,Cy,Y,1918,1929,F,67,168,December,23,1891,Canada
Nighbor,Frank,Y,1918,1930,F,69,160,January,26,1893,Canada
Benedict,Clint,Y,1918,1930,G,NA,NA,September,26,1892,Canada
Boucher,Georges,Y,1918,1932,D,69,169,August,19,1896,Canada
Noble,Reg,Y,1918,1933,F,68,180,June,23,1896,Canada
Ronan,Skene,N,1919,1919,D,66,150,February,9,1889,Canada
Jacobs,Paul,N,1919,1919,D,68,160,March,9,1894,Canada
Doherty,Fred,N,1919,1919,F,68,160,August,15,1887,Canada
Arbour,Amos,N,1919,1924,F,68,160,January,26,1895,Canada
Cleghorn,Sprague,Y,1919,1928,D,70,190,March,11,1890,Canada
Cleghorn,Odie,N,1919,1928,F,69,195,September,19,1891,Canada
Broadbent,Punch,Y,1919,1929,F,67,183,July,13,1892,Canada
Heffernan,Frank,N,1920,1920,D,73,210,January,12,1892,Canada
McNaughton,George,N,1920,1920,F,69,150,April,4,1897,Canada
Smith,Don,N,1920,1920,F,67,160,June,3,1888,Canada
McNamara,Howard,N,1920,1920,D,73,240,August,3,1893,Canada
Wellington,Alex,N,1920,1920,F,NA,NA,August,4,1893,Canada
Brophy,Frank,N,1920,1920,G,66,150,August,9,1900,Canada
Smith,Tommy,Y,1920,1920,F,66,150,September,27,1886,Canada
McLean,Fred,N,1920,1921,D,74,200,March,16,1893,Canada
MacKell,Jack,N,1920,1921,F,67,150,April,12,1896,Canada
Carpenter,Eddie,N,1920,1921,D,73,170,June,15,1890,USA
McCarthy,Thomas,N,1920,1921,F,71,165,NA,NA,NA,Canada
Mitchell,Ivan,N,1920,1922,G,NA,NA,NA,NA,NA,Canada
Carey,George,N,1920,1924,F,66,140,NA,NA,NA,Canada
Lockhart,Howard,N,1920,1925,G,68,180,March,21,1895,Canada
Prodger,Goldie,N,1920,1925,F,70,180,October,18,1891,Canada
Matte,Joe,N,1920,1926,D,71,165,March,6,1893,Canada
Roach,Mickey,N,1920,1927,F,66,158,May,1,1895,USA
Wilson,Cully,N,1920,1927,F,68,180,June,5,1892,Canada
Dye,Babe,Y,1920,1931,F,68,150,May,13,1898,Canada
Forbes,Vernon,N,1920,1933,G,66,140,July,4,1897,Canada
Campbell,Dave,N,1921,1921,D,73,200,April,27,1896,Canada
Pletsch,Charles,N,1921,1921,D,NA,NA,July,22,1893,Canada
McDonnell,Moylan,N,1921,1921,D,69,145,August,27,1889,Canada
Smylie,Rod,N,1921,1926,F,70,170,September,28,1895,Canada
Graham,Leth,N,1921,1926,F,69,150,NA,NA,NA,Canada
Stuart,Billy,N,1921,1927,D,71,190,February,1,1900,Canada
Reise,Leo,N,1921,1930,D,71,175,June,1,1892,Canada
Stackhouse,Ted,N,1922,1922,D,73,200,November,2,1894,Canada
Nolan,Paddy,N,1922,1922,F,68,170,December,1,1897,Canada
Smith,Glenn,N,1922,1922,D,68,180,NA,NA,NA,Canada
Andrews,Lloyd,N,1922,1925,F,NA,NA,November,4,1899,Canada
Jackson,Stan,N,1922,1927,F,73,180,August,27,1898,Canada
Boucher,Billy,N,1922,1928,F,67,155,November,10,1899,Canada
Bouchard,Edmond,N,1922,1929,F,70,185,May,24,1892,Canada
Roach,John Ross,N,1922,1935,G,65,130,June,23,1900,Canada
Clancy,King,Y,1922,1937,D,67,155,February,25,1903,Canada
Boucher,Frank,Y,1922,1944,F,69,185,October,7,1901,Canada
Denoird,Gerry,N,1923,1923,F,70,170,August,4,1902,Canada
Fortier, Charles ,N,1923,1924,NA,NA,NA,NA,NA,NA,Canada
Scott,Ganton,N,1923,1925,F,69,165,March,23,1903,Canada
Helman,Harry,N,1923,1925,F,66,145,August,28,1894,Canada
Burch,Billy,Y,1923,1933,F,73,200,November,20,1900,USA
Hitchman,Lionel,N,1923,1934,D,73,167,November,3,1901,Canada
Joliat,Aurel,Y,1923,1938,F,67,136,August,29,1901,Canada
Boucher,Bobby,N,1924,1924,F,68,142,February,14,1904,Canada
Loughlin,Wilf,N,1924,1924,D,74,200,February,28,1896,Canada
Fraser,Charles/Jack,N,1924,1924,D,NA,NA,July,22,1897,Canada
Campbell,Earl,N,1924,1926,D,71,166,July,23,1900,Canada
Cameron,Billy,N,1924,1926,F,71,160,December,5,1896,Canada
Green,Wilfred,Y,1924,1927,F,70,152,July,17,1896,Canada
Holway,Albert,N,1924,1929,D,74,190,September,24,1902,Canada
Green,Red,N,1924,1929,F,68,148,December,12,1899,Canada
Spring,Jesse,N,1924,1930,D,73,185,January,18,1901,USA
Speyer,Chris,N,1924,1934,D,70,170,February,6,1907,Canada
Mantha,Sylvio,Y,1924,1937,D,70,178,April,14,1902,Canada
Morenz,Howie,Y,1924,1937,F,69,165,June,21,1902,Canada
Finnigan,Frank,N,1924,1937,F,69,165,July,9,1903,Canada
Headley,Fern,N,1925,1925,D,71,175,March,2,1901,USA
Cook,Lloyd,N,1925,1925,D,73,170,March,21,1890,Canada
Joliat,Rene,N,1925,1925,F,65,140,April,25,1898,Canada
Benson,Bobby,N,1925,1925,D,66,135,May,18,1894,Canada
Matz,Johnny,N,1925,1925,F,NA,NA,June,1,1891,USA
Carroll,George,N,1925,1925,D,74,210,June,3,1897,Canada
Morris,Bernie,N,1925,1925,F,67,145,August,21,1890,Canada
Sparrow,Emory,N,1925,1925,F,71,180,September,15,1898,Canada
Fisher,Alvin,N,1925,1925,F,73,175,October,2,1894,Canada
Harris, Wilfred ,N,1925,1925,F,71,165,October,11,1890,Canada
Fowler,Hec,N,1925,1925,G,71,190,October,14,1892,Canada
Parkes,Ernie,N,1925,1925,F,70,150,November,4,1898,Canada
Ingram,John,N,1925,1925,F,71,170,NA,NA,NA,Canada
Cotch,Charlie,N,1925,1925,F,71,175,NA,NA,NA,Canada
Lafleur,Roland,N,1925,1925,F,66,145,NA,NA,1899,Canada
Rowe,Bobby,N,1925,1925,F,66,160,NA,NA,NA,Canada
Mitchell,Herb,N,1925,1926,F,70,190,January,4,1896,Canada
Shay,Norm,N,1925,1926,D,69,158,February,3,1899,Canada
Reid,Reg,N,1925,1926,F,68,138,February,17,1899,Canada
Redding,George,N,1925,1926,F,67,145,March,6,1903,Canada
Cain,Jim,N,1925,1926,D,68,175,March,22,1899,Canada
Schnarr,Werner,N,1925,1926,F,67,145,March,23,1903,Canada
Lowrey,Fred,N,1925,1926,F,69,155,August,12,1902,Canada
Munro,Gerry,N,1925,1926,D,70,175,November,28,1897,Canada
Stewart,Charles,N,1925,1927,G,67,140,November,13,1895,Canada
Langlois,Charlie,N,1925,1928,F,73,210,August,25,1894,Canada
Gorman,Ed,N,1925,1928,D,73,180,September,25,1892,Canada
Rothschild,Sam,N,1925,1928,F,66,145,October,16,1899,Canada
McKinnon,Alex,N,1925,1929,F,68,175,April,17,1895,Canada
Dinsmore,Chuck,N,1925,1930,F,66,155,July,23,1903,Canada
Herberts,Jimmy,N,1925,1930,F,70,185,October,31,1897,Canada
McCaffrey,Bert,N,1925,1931,F,70,180,April,12,1893,Canada
Neville,Mike,N,1925,1931,F,69,168,October,11,1904,Canada
Munro,Dunc,N,1925,1932,D,68,190,January,19,1901,England
Cooper,Carson,N,1925,1932,F,67,160,July,17,1899,Canada
Smith,Alex,N,1925,1935,D,71,176,April,2,1902,England
Connell,Alec,Y,1925,1937,G,69,150,February,8,1902,Canada
Day,Hap,Y,1925,1938,D,71,175,June,14,1901,Canada
Smith,Hooley,Y,1925,1941,F,70,155,January,7,1903,Canada
Rheaume,Herb,N,1926,1926,G,73,200,January,12,1900,Canada
Brackenborough,John,N,1926,1926,F,71,170,February,9,1897,Canada
Larose,Bonner,N,1926,1926,F,68,170,February,14,1901,Canada
Morrison,John,N,1926,1926,F,68,163,March,4,1895,Canada
Cormier,Roger,N,1926,1926,F,70,167,March,23,1905,Canada
Boileau,Rene,N,1926,1926,F,70,160,May,18,1904,Canada
Bergdinon,Fred,N,1926,1926,F,73,170,June,22,1906,Canada
Spence,Gordon,N,1926,1926,F,67,150,July,25,1897,Canada
Paulhus,Rollie,N,1926,1926,D,68,185,September,1,1902,Canada
Hall,Bob,N,1926,1926,F,68,165,October,13,1899,USA
Lacroix, Alphonse ,N,1926,1926,G,67,136,October,21,1897,USA
Lepine,Hec,N,1926,1926,F,71,185,December,7,1897,Canada
Duggan,John,N,1926,1926,F,68,185,December,17,1898,Canada
Cahill,Charles,N,1926,1927,F,70,180,January,4,1904,Canada
Kitchen,Hobie,N,1926,1927,D,71,187,February,8,1904,Canada
Ironstone,Joe,N,1926,1928,G,66,180,June,28,1898,Canada
McCurry,Duke,N,1926,1929,F,68,160,June,13,1900,Canada
Horne,George,N,1926,1929,F,66,165,June,27,1904,Canada
Holmes,Bill,N,1926,1930,F,73,200,March,9,1899,Canada
Brophy,Bernie,N,1926,1930,F,68,165,August,9,1905,Canada
Bellefeuille,Pete,N,1926,1930,F,70,180,October,19,1901,Canada
Drury,Herb,N,1926,1931,D,67,165,March,2,1895,Canada
White,Tex,N,1926,1931,F,71,155,June,26,1900,Canada
McKinnon,John,N,1926,1931,D,68,170,July,15,1902,Canada
Smith,Rodger,N,1926,1931,D,73,175,July,26,1896,Canada
Simpson,Joe,Y,1926,1931,D,70,175,August,13,1893,Canada
Milks,Hib,N,1926,1933,F,71,165,April,1,1899,Canada
Phillips,Merlyn,N,1926,1933,F,67,160,May,24,1899,Canada
Harrington,Leland,N,1926,1933,F,68,163,August,13,1904,USA
Darragh,Harold,N,1926,1933,F,70,145,September,13,1902,Canada
Carson,Frank,N,1926,1934,F,67,165,January,12,1902,Canada
Dutkowski,Duke,N,1926,1934,D,70,185,August,30,1902,Canada
Leduc,Albert,N,1926,1935,D,69,180,November,22,1902,Canada
Conacher,Lionel,Y,1926,1937,D,74,195,May,24,1901,Canada
Larochelle,Wildor,N,1926,1937,F,68,158,September,23,1906,Canada
Worters,Roy,Y,1926,1937,G,63,135,October,19,1900,Canada
Cotton,Baldy,N,1926,1937,F,70,155,November,5,1902,Canada
Lepine,Pit,N,1926,1938,F,71,168,July,30,1901,Canada
Siebert, Albert ,Y,1926,1939,F,70,182,January,14,1904,Canada
Kilrea,Hec,N,1926,1940,F,68,175,June,11,1907,Canada
Stewart,Nels,Y,1926,1940,F,73,195,December,29,1902,Canada
Roberts,Moe,N,1926,1952,G,69,165,December,13,1905,USA
Halderson,Harold,N,1927,1927,D,75,200,January,6,1900,Canada
Stuart,Herb,N,1927,1927,G,66,175,March,30,1899,Canada
Mackey,Reg,N,1927,1927,D,67,155,May,7,1900,Canada
Riley,Jim,N,1927,1927,F,71,180,May,25,1895,Canada
McFarlane,Gord,N,1927,1927,F,74,180,July,18,1901,Canada
Reinikka,Ollie,N,1927,1927,F,70,160,August,2,1901,Canada
Townsend,Art,N,1927,1927,D,70,185,October,9,1905,Canada
Gauthier,Art,N,1927,1927,F,68,158,October,10,1904,Canada
Donnelly,Babe,N,1927,1927,D,67,180,December,22,1895,Canada
Patrick,Lester,Y,1927,1927,D,73,180,December,30,1883,Canada
Pudas,Al,N,1927,1927,F,70,160,NA,NA,NA,Finland
Foyston,Frank,Y,1927,1928,F,69,158,February,2,1891,Canada
Winkler,Hal,N,1927,1928,G,68,150,March,20,1892,Canada
Moran,Amby,N,1927,1928,D,73,200,April,3,1895,Canada
Gordon,Fred,N,1927,1928,F,70,185,May,6,1900,Canada
Brown,Stan,N,1927,1928,D,70,150,May,9,1898,Canada
Scott,Laurie,N,1927,1928,F,66,155,June,19,1900,Canada
McGuire, Frank ,N,1927,1928,F,70,158,July,7,1898,Canada
Lehman,Hugh,Y,1927,1928,G,68,168,October,27,1885,Canada
Boucher,Clarence,N,1927,1928,D,73,195,November,1,1896,Canada
Lafrance,Leo,N,1927,1928,F,68,160,November,3,1902,Canada
Walker,Jack,Y,1927,1928,F,68,153,November,29,1888,Canada
Trapp,Bob,N,1927,1928,D,70,170,December,16,1899,Canada
Oatman,Russell,N,1927,1929,F,70,195,February,19,1905,Canada
Arbour,Jack,N,1927,1929,D,68,172,March,7,1897,Canada
Keats, Gordon ,Y,1927,1929,F,71,195,March,21,1895,Canada
Gardiner,Herb,Y,1927,1929,D,70,190,May,8,1891,Canada
Irvin,Dick,Y,1927,1929,F,69,162,July,19,1892,Canada
Traub,Percy,N,1927,1929,D,69,175,August,23,1896,Canada
Halliday,Milt,N,1927,1929,F,70,180,September,21,1906,Canada
Loughlin,Clem,N,1927,1929,D,73,180,November,15,1894,Canada
Boyd,Bill,N,1927,1930,F,70,185,May,15,1898,Canada
MacKay,Mickey,Y,1927,1930,F,69,162,May,25,1894,Canada
Briden,Archie,N,1927,1930,F,68,170,July,16,1898,Canada
Connors,Bob,N,1927,1930,F,69,165,October,19,1904,England
Carson,Bill,N,1927,1930,F,68,158,November,25,1900,Canada
Fraser,Gord,N,1927,1931,D,73,180,January,3,1902,Canada
Rodden,Eddie,N,1927,1931,F,67,150,March,22,1901,Canada
Fredrickson,Frank,Y,1927,1931,F,71,180,June,11,1895,Canada
Arbour,Ty,N,1927,1931,F,67,160,June,29,1896,Canada
Duncan,Art,N,1927,1931,D,73,190,July,4,1891,Canada
Gagne,Art,N,1927,1932,F,67,160,October,11,1897,Canada
Walsh, James ,N,1927,1933,G,71,180,March,23,1897,Canada
Hart, Harold ,N,1927,1933,F,69,171,June,1,1902,Canada
Hay,George,Y,1927,1934,F,70,155,January,10,1898,Canada
Abel,Clarence,N,1927,1934,D,73,225,May,28,1900,USA
Bailey,Ace,Y,1927,1934,F,70,160,July,3,1903,Canada
Sheppard,Johnny,N,1927,1934,F,67,165,July,23,1903,Canada
Dukowski,Duke,N,1927,1934,D,70,185,August,30,1902,Canada
Cox,Danny,N,1927,1934,F,70,180,October,12,1903,Canada
Galbraith,Percy,N,1927,1934,F,70,162,December,5,1898,Canada
Bourgeault,Leo,N,1927,1935,D,66,165,January,17,1903,Canada
McVeigh,Charley,N,1927,1935,F,66,145,March,29,1898,Canada
Himes,Norman,N,1927,1935,F,69,145,April,13,1903,Canada
Patterson,George,N,1927,1935,F,73,176,May,22,1906,Canada
Gross,Lloyd,N,1927,1935,F,69,175,September,5,1905,Canada
Dutton,Red,Y,1927,1936,D,73,185,July,23,1898,Canada
Brydge,Bill,N,1927,1936,D,69,195,October,22,1901,Canada
Murdoch,Murray,N,1927,1937,F,70,180,May,19,1904,Canada
Hainsworth,George,Y,1927,1937,G,66,150,June,26,1895,Canada
Cook, Frederick ,Y,1927,1937,F,71,180,September,18,1903,Canada
Chabot,Lorne,N,1927,1937,G,73,185,October,5,1900,Canada
Cook,Bill,Y,1927,1937,F,70,170,October,9,1896,Canada
Oliver,Harry,Y,1927,1937,F,68,155,October,26,1898,Canada
Voss,Carl,Y,1927,1938,F,69,168,January,6,1907,USA
Emms,Hap,N,1927,1938,F,73,190,January,12,1905,Canada
Doraty,Ken,N,1927,1938,F,67,133,June,23,1906,Canada
Keeling,Butch,N,1927,1938,F,71,180,August,10,1905,Canada
Palangio,Pete,N,1927,1938,F,71,175,September,10,1908,Canada
Johnson,Ivan,Y,1927,1938,D,71,210,December,7,1898,Canada
Thompson,Paul,N,1927,1939,F,71,180,November,2,1906,Canada
Shore,Eddie,Y,1927,1940,D,71,190,November,25,1902,Canada
Stanley,Barney,Y,1928,1928,F,73,175,January,1,1893,Canada
Chouinard,Jean,N,1928,1928,D,66,160,January,5,1902,Canada
Lauder,Martin,N,1928,1928,D,66,165,January,26,1907,Canada
Callighen,Patsy,N,1928,1928,D,66,175,February,13,1906,Canada
Browne,Cecil,N,1928,1928,F,73,165,February,13,1896,Canada
Clark,Nobby,N,1928,1928,D,73,190,June,18,1897,Canada
Brown,Fred,N,1928,1928,F,68,155,September,15,1900,Canada
Sheppard,Frank,N,1928,1928,F,66,157,October,19,1907,Canada
Ramsay,Beattie,N,1928,1928,D,67,143,December,12,1895,Canada
Hoffinger,Val,N,1928,1929,D,66,190,January,1,1901,Russia
Gray,Alex,N,1928,1929,F,70,170,June,21,1899,England
Burns,Bobby,N,1928,1930,F,70,155,April,4,1905,Canada
Taylor,Ralph,N,1928,1930,D,69,180,October,2,1905,Canada
McCalmon,Eddie,N,1928,1931,F,68,170,May,30,1902,Canada
Miller,Joe,N,1928,1931,G,69,170,October,6,1900,Canada
Smith,Art,N,1928,1931,D,70,200,November,29,1906,Canada
Connor,Harry,N,1928,1931,F,73,195,December,3,1904,Canada
Miller,Earl,N,1928,1932,F,71,180,September,12,1905,Canada
Lowrey,Gerry,N,1928,1933,F,68,150,February,14,1906,Canada
Grosvenor,Len,N,1928,1933,F,69,172,July,21,1905,Canada
Gaudreault,Leo,N,1928,1933,F,70,152,October,19,1905,Canada
Touhey,Bill,N,1928,1934,F,69,155,March,23,1906,Canada
Godin,Sam,N,1928,1934,F,70,156,September,20,1909,Canada
Gardiner,Charlie,Y,1928,1934,G,NA,176,December,31,1904,England
Wasnie,Nick,N,1928,1935,F,71,174,January,1,1904,Canada
Gainor,Norman,N,1928,1935,F,73,170,April,10,1904,Canada
Primeau,Joe,Y,1928,1936,F,71,153,January,29,1906,Canada
Graham,Ted,N,1928,1937,D,68,170,January,30,1906,Canada
Burke,Marty,N,1928,1938,D,68,160,January,28,1905,Canada
Shields,Al,N,1928,1938,D,73,188,May,10,1907,Canada
Lamb,Joe,N,1928,1938,F,70,170,June,18,1906,Canada
Aurie,Larry,N,1928,1939,F,66,148,February,8,1905,Canada
Ward,Jimmy,N,1928,1939,F,71,167,September,1,1906,Canada
Wentworth, Marvin ,N,1928,1940,D,70,170,January,24,1905,Canada
Barry,Marty,Y,1928,1940,F,71,175,December,8,1905,Canada
Clapper,Dit,Y,1928,1947,F,74,195,February,9,1907,Canada
Elliott,Fred,N,1929,1929,F,68,165,February,18,1903,Canada
Gillie,Farrand,N,1929,1929,F,70,150,May,11,1905,Canada
Daley,Frank,N,1929,1929,F,71,178,August,22,1909,Canada
McBride,Cliff,N,1929,1930,F,70,180,January,10,1909,Canada
Vail,Sparky,N,1929,1930,D,73,185,July,5,1906,Canada
Dolson,Dolly,N,1929,1931,G,67,160,May,23,1897,Canada
Hicks,Henry,N,1929,1931,D,67,170,December,10,1900,Canada
Pettinger,Eric,N,1929,1931,F,73,175,December,14,1904,England
Owen,George,N,1929,1933,D,71,190,February,12,1901,Canada
Lane,Myles,N,1929,1934,D,73,180,October,2,1905,USA
Ripley,Vic,N,1929,1935,F,68,170,May,30,1906,Canada
Couture, Rosario ,N,1929,1936,F,71,164,July,24,1905,Canada
Lesieur,Art,N,1929,1936,D,71,191,September,13,1907,USA
Blair,Andy,N,1929,1937,F,73,180,February,27,1908,Canada
Carson,Gerry,N,1929,1937,D,70,175,October,10,1905,Canada
Klein,Lloyd,N,1929,1938,F,73,185,January,13,1910,Canada
Lewis,Herbie,Y,1929,1939,F,69,163,April,17,1906,Canada
Trottier,Dave,N,1929,1939,F,70,170,June,25,1906,Canada
Northcott,Baldy,N,1929,1939,D,73,184,September,7,1908,Canada
Weiland, Ralph ,Y,1929,1939,F,67,150,November,5,1904,Canada
Robinson,Earl,N,1929,1940,F,70,160,March,11,1907,Canada
Horner,George,Y,1929,1940,D,73,190,May,28,1909,Canada
Thompson,Tiny,Y,1929,1940,G,70,160,May,31,1903,Canada
Mondou,Armand,N,1929,1940,F,70,175,June,27,1905,Canada
Mantha,Georges,N,1929,1941,D,68,165,November,29,1908,Canada
Grant,Benny,N,1929,1944,G,71,160,July,14,1908,Canada
Gottselig,Johnny,N,1929,1945,F,71,158,June,24,1905,Russia
March,Mush,N,1929,1945,F,65,154,October,18,1908,Canada
Brydson,Gord,N,1930,1930,F,67,150,January,3,1907,Canada
Hughes,James,N,1930,1930,D,69,190,May,12,1906,Canada
Quenneville,Leo,N,1930,1930,F,70,170,June,15,1900,Canada
Taylor,Bob,N,1930,1930,F,73,190,August,12,1904,USA
Spooner,Red,N,1930,1930,G,68,170,August,24,1910,Canada
Phillips,Bill,N,1930,1930,F,70,163,September,23,1902,Canada
Murray,Mickey,N,1930,1930,G,70,168,October,14,1898,Canada
Hutton,Bill,N,1930,1931,D,71,165,January,28,1910,Canada
Manners,Rennison,N,1930,1931,F,71,160,February,5,1904,Canada
Massecar,George,N,1930,1932,F,69,165,July,10,1904,Canada
Burmister,Roy,N,1930,1932,F,70,155,August,12,1906,Canada
Ingram,Frank,N,1930,1932,F,68,185,September,17,1907,Canada
Rivers,Gus,N,1930,1932,F,71,180,November,19,1909,Canada
Bostrom,Helge,N,1930,1933,D,68,185,January,9,1894,Canada
Rockburn,Harvey,N,1930,1933,D,70,180,August,20,1908,Canada
Adams,Stew,N,1930,1933,F,70,165,October,16,1904,Canada
Regan,Bill,N,1930,1933,D,73,190,December,11,1908,Canada
McCabe,Stan,N,1930,1934,F,66,165,June,16,1908,Canada
Somers,Art,N,1930,1935,F,65,167,January,19,1902,Canada
Heximer,Orville,N,1930,1935,F,67,159,February,16,1910,Canada
Wilcox,Archie,N,1930,1935,F,71,195,May,9,1903,Canada
Foster,Harry,N,1930,1935,D,78,198,November,25,1907,Canada
Starr,Harold,N,1930,1936,D,71,176,July,6,1906,Canada
Cox,Abbie,N,1930,1936,G,66,140,July,19,1904,Canada
Jarvis,James,N,1930,1937,F,66,165,December,7,1907,Canada
Kilrea,Wally,N,1930,1938,F,67,150,February,18,1909,Canada
Cook,Tom,N,1930,1938,F,67,140,May,7,1907,Canada
Goldsworthy,Leroy,N,1930,1939,F,73,165,October,18,1906,USA
Barton,Cliff,N,1930,1940,F,67,155,September,3,1907,USA
Conacher,Charlie,Y,1930,1941,F,73,195,December,20,1909,Canada
Matte,Joe,N,1930,1943,D,71,178,March,15,1909,Canada
Goodfellow,Ebbie,Y,1930,1943,F,73,175,April,9,1907,Canada
Beveridge,Bill,N,1930,1943,G,68,170,July,1,1909,Canada
Jackson,Harvey,Y,1930,1944,F,71,195,January,19,1911,Canada
Howe,Syd,Y,1930,1946,F,69,165,September,28,1911,Canada
Kinsella,Ray,N,1931,1931,F,70,162,January,27,1911,Canada
Lyons,Ron,N,1931,1931,F,71,170,February,15,1909,Canada
Coulson,D'arcy,N,1931,1931,D,71,175,February,17,1908,Canada
Steele,Frank,N,1931,1931,F,71,170,March,19,1905,Canada
Waite,Frank,N,1931,1931,F,71,150,April,9,1905,Canada
Crossett,Stan,N,1931,1931,D,73,200,April,18,1900,Canada
Newman,John,N,1931,1931,F,68,155,April,24,1910,Canada
Harris,Henry,N,1931,1931,F,71,185,April,28,1906,Canada
Vokes,Ed,N,1931,1931,F,69,160,May,27,1904,Canada
McAdam,Sam,N,1931,1931,F,68,175,May,31,1908,Canada
Peters,Frank,N,1931,1931,D,71,160,June,5,1905,USA
Hamel,Herb,N,1931,1931,F,71,155,June,8,1904,Canada
Pringle,Ellie,N,1931,1931,D,74,205,August,31,1911,Canada
Huard,Roland,N,1931,1931,F,70,170,September,6,1902,Canada
Maracle,Bud,N,1931,1931,F,71,195,September,8,1904,Canada
Creighton,Jimmy,N,1931,1931,F,69,150,November,18,1905,Canada
Huggins,Al,N,1931,1931,F,73,160,December,21,1910,Canada
Pratt,Jack,N,1931,1932,F,73,190,April,13,1906,Canada
Hughes,Albert,N,1931,1932,F,69,165,May,13,1901,Canada
McVicar,Jack,N,1931,1932,D,73,160,June,4,1904,Canada
Desjardins,Victor,N,1931,1932,F,69,160,July,4,1900,USA
Convey,Eddie,N,1931,1933,F,71,165,December,16,1910,Canada
Filmore,Tommy,N,1931,1934,F,71,189,March,14,1906,Canada
Roche,Des,N,1931,1935,F,67,165,February,1,1909,Canada
Roche,Earl,N,1931,1935,F,71,175,February,22,1910,Canada
Carrigan,Gene,N,1931,1935,F,73,200,July,5,1907,Canada
Kenny,Ernest,N,1931,1935,D,74,195,August,20,1907,Canada
Webster,Aubrey,N,1931,1935,F,69,168,September,25,1912,Canada
Ayres,Vern,N,1931,1936,D,74,220,April,27,1909,Canada
McInenly,Bert,N,1931,1936,F,69,160,May,6,1906,Canada
Pusie,Jean,N,1931,1936,D,73,205,October,15,1910,Canada
Radley,Yip,N,1931,1937,D,73,198,June,27,1908,Canada
Runge,Paul,N,1931,1938,F,71,167,September,10,1908,Canada
Brydson,Glenn,N,1931,1938,F,70,170,November,7,1910,Canada
Gallagher,John,N,1931,1939,D,71,188,January,19,1909,Canada
Jerwa,Joe,N,1931,1939,D,74,185,January,20,1907,Poland
Levinsky,Alex,N,1931,1939,D,70,184,February,2,1910,USA
Evans,Stewart,N,1931,1939,D,70,170,June,19,1908,Canada
Beattie,Red,N,1931,1939,F,69,170,October,2,1907,England
Gracie,Bob,N,1931,1939,F,69,155,November,8,1910,Canada
Jenkins,Roger,N,1931,1939,F,71,173,November,18,1911,USA
Romnes, Elwyn ,N,1931,1940,F,71,156,January,1,1909,USA
Dillon,Cecil,N,1931,1940,F,71,173,April,26,1908,USA
Chapman,Art,N,1931,1940,F,70,170,May,29,1906,Canada
Gagnon,Johnny,N,1931,1940,F,65,140,June,8,1905,Canada
