Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Stefanski,Bud,N,1978,1978,F,70,170,April,28,1955,Canada
Magee,Dean,N,1978,1978,F,74,210,April,29,1955,Canada
Allan,Jeff,N,1978,1978,D,73,194,May,17,1957,Canada
Jodzio,Rick,N,1978,1978,F,73,190,June,3,1954,Canada
Gosselin,Benoit,N,1978,1978,F,71,190,July,19,1957,Canada
Veysey,Sid,N,1978,1978,F,71,175,July,30,1955,Canada
Redquest,Greg,N,1978,1978,G,70,190,July,30,1956,Canada
Cunningham,Jim,N,1978,1978,F,71,185,August,15,1956,USA
Boo,Jim,N,1978,1978,D,73,200,November,12,1954,USA
Gallimore,Jamie,N,1978,1978,F,73,180,November,28,1957,Canada
McCahill,John,N,1978,1978,D,73,215,December,2,1955,Canada
Butters,Bill,N,1978,1979,D,70,185,January,10,1951,USA
Godin,Eddy,N,1978,1979,F,70,190,March,29,1957,Canada
Short,Steve,N,1978,1979,F,74,210,April,6,1954,USA
Baby,John,N,1978,1979,D,73,195,May,18,1957,Canada
Plumb,Rob,N,1978,1979,F,68,166,August,29,1957,Canada
Burton,Nelson,N,1978,1979,F,73,205,November,6,1957,Canada
Bedard,Jim,N,1978,1979,G,70,181,November,14,1956,Canada
Jones,Jimmy,N,1978,1980,F,69,180,January,2,1953,Canada
Smrke,John,N,1978,1980,F,71,205,February,25,1956,Canada
Hogosta,Goran,N,1978,1980,G,73,179,April,15,1954,Sweden
Savard,Jean,N,1978,1980,F,71,172,April,26,1957,Canada
Hilworth,John,N,1978,1980,D,76,205,May,23,1957,Canada
Phillipoff,Harold,N,1978,1980,F,75,220,July,14,1956,Canada
Sheehy,Tim,N,1978,1980,F,73,185,September,3,1948,USA
Cloutier,Roland,N,1978,1980,F,68,157,October,6,1957,Canada
Chicoine,Dan,N,1978,1980,F,71,192,November,30,1957,Canada
Vasko,Rick,N,1978,1981,D,73,185,January,12,1957,Canada
Contini,Joe,N,1978,1981,F,70,178,January,29,1957,Canada
Astrom,Hardy,N,1978,1981,G,73,170,March,29,1951,Sweden
Hoyda,Dave,N,1978,1981,F,73,205,May,20,1957,Canada
Grahame,Ron,N,1978,1981,G,71,175,June,7,1950,Canada
Miller,Perry,N,1978,1981,D,73,194,June,24,1952,Canada
Manery,Kris,N,1978,1981,F,73,185,September,24,1954,Canada
Davis,Kim,N,1978,1981,F,71,170,October,31,1957,Canada
McKendry,Alex,N,1978,1981,F,76,200,November,21,1956,Canada
Polich,Mike,N,1978,1981,F,68,170,December,19,1952,USA
Johansen,Trevor,N,1978,1982,D,69,200,March,30,1957,Canada
