time,radius
0.00038,25.4
0.00052,28.8
0.00066,31.9
0.00080,34.2
0.00094,36.3
0.00108,38.9
0.00122,41.0
0.00136,42.8
0.00150,44.4
0.00165,46.0
0.00179,46.9
0.00193,48.7
0.00326,59.0
0.00353,61.1
0.00380,62.9
0.00407,64.3
0.00434,65.6
0.00461,67.3
0.0150,106.5
0.0250,130.0
0.0340,145.0
0.0530,175.0
0.0620,185.0 
