Button,Time,Note
No,6.9,
No,6.7,
No,6.9,
No,8,
No,7.6,
No,7.6,Changed from 76.  My mistake
No,6,
No,7.8,
No,7.2,
No,7,
Yes,5.2,
Yes,7.3,
Yes,7.8,
Yes,6.2,
Yes,8.7,
Yes,7.6,
Yes,7.3,
Yes,7.7,
Yes,8.2,
Yes,7.9,
