speed,weight,cals
8,120,4.2
8,140,5.1
8,160,6.1
8,180,7.0
8,200,7.9
9,120,5.8
9,140,6.7
9,160,7.7
9,180,8.6
9,200,9.5
10,120,7.4
10,140,8.3
10,160,9.2
10,180,10.2
10,200,11.1
11,120,8.9
11,140,9.9
11,160,10.8
11,180,11.7
11,200,12.6
