"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
33.3,50,24,"Baldwin-Wallace College","Private not-for-profit",26612,1088,86.3,38,48
17.6,55.9,34,"Bowling Green State University","Public",8661,1029,92.4,67,46
70.8,83.2,113,"Case Western Reserve University","Private not-for-profit",176403,1345,96.6,87,23
25.8,53.6,97,"University of Cincinnati","Public",31724,1132,83.3,20,26
8.3,20.8,24,"Cleveland State University","Public",400,970,70.5,25,76
90.9,90.9,22,"Denison University","Private not-for-profit",253574,1282,99.2,85,8
26.4,51.4,72,"Kent State University","Public",NA,1044,87.5,35,52
56.5,73.4,124,"Miami University (Ohio)","Public",19901,1195,98.2,77,1
73.5,86.8,68,"Oberlin College","Private not-for-profit",236501,1356,97.6,90,6
51.2,82.4,346,"Ohio State University","Public",31727,1253,91.5,59,13
39.4,54.5,33,"Ohio University","Public",11275,1093,81.5,75,11
22.4,44.9,49,"University of Toledo","Public",1875,NA,82.1,55,64
12.5,57.1,56,"Wright State University","Public",5911,NA,83.2,50,59
64.3,75,28,"Xavier University (Ohio)","Private not-for-profit",15613,1135,88,49,14
25,43.8,48,"University of Central Oklahoma","Public",1343,1010,68.8,24,36
30.4,64.3,56,"Oklahoma State University at Stillwater","Public",10987,1143,86.2,93,34
37.1,68.6,175,"University of Oklahoma at Norman","Public",30374,1185,86.8,87,20
53.8,69.2,26,"George Fox University","Private not-for-profit",5453,1117,87.6,41,50
79.3,89.7,29,"Lewis & Clark College","Private not-for-profit",48858,NA,98.9,67,11
67.6,73.5,34,"Linfield College","Private not-for-profit",39565,1090,98,61,27
28.6,62.7,241,"Oregon State University","Public",18080,1081,83.8,85,35
44.8,72.4,232,"University of Oregon","Public",18484,1110,91.3,61,16
73.7,84.2,76,"Pacific University","Private not-for-profit",15139,1093,95.8,61,44
17.2,42.6,122,"Portland State University","Public",2282,1050,65.5,25,61
68.1,83.3,72,"University of Portland","Private not-for-profit",20798,1190,96.8,59,17
59.5,78.4,37,"Reed College","Private not-for-profit",282046,1390,97.3,95,13
20,40,35,"Southern Oregon University","Public",3674,1015,65.3,58,67
72,84,25,"Willamette University","Private not-for-profit",77226,1259,94.3,66,24
10.7,25,28,"Western Oregon University","Public",1856,970,85.3,27,62
68.2,77.3,22,"Allegheny College","Private not-for-profit",65193,1217,98.2,86,28
88.4,97.7,43,"Bryn Mawr College","Private not-for-profit",339611,1285,99.5,74,17
87.9,92.4,66,"Bucknell University","Private not-for-profit",121118,1300,99.4,98,3
67.3,86.7,324,"Carnegie Mellon University","Private not-for-profit",78809,1395,96.7,95,7
75,89.3,28,"Dickinson College","Private not-for-profit",110446,1283,98.3,82,3
34.9,74.6,252,"Drexel University","Private not-for-profit",21130,1200,81.5,51,17
79.2,83.3,24,"Franklin & Marshall College","Private not-for-profit",112427,NA,98,89,2
88.2,91.2,34,"Haverford College","Private not-for-profit",282592,1396,100,90,8
25,50,28,"Indiana University of Pennsylvania","Public",2448,985,93,94,60
34.6,46.2,26,"Kutztown University of Pennsylvania","Public",1408,972,91,94,24
50,61.8,34,"La Salle University","Private not-for-profit",10527,1007,73.8,33,45
71.9,85.9,64,"Lehigh University","Private not-for-profit",147704,1304,98.8,91,5
29.2,45.8,24,"Millersville University of Pennsylvania","Public",2067,1055,90.8,61,23
42.3,69.2,26,"Pennsylvania State University-Altoona","Public",NA,1006,94.2,37,44
13.5,51.4,37,"Pennsylvania State University-Berks","Public",NA,1003,88.8,31,29
33.3,50,36,"Pennsylvania State University-Brandywine","Public",NA,968,85.3,23,38
41.4,62.1,29,"Pennsylvania State University-Hazleton","Public",NA,932,94.6,47,69
54.1,81.9,342,"Pennsylvania State University at University Park","Public",28825,1198,96.8,91,5
24.8,49.6,113,"Pennsylvania State University-Abington","Public",NA,953,81.6,18,66
87.3,96.3,455,"University of Pennsylvania","Private not-for-profit",223090,1434,87.1,76,4
44.8,51.7,29,"Philadelphia University","Private not-for-profit",5641,1061,93.4,11,26
12.5,67.6,176,"University of the Sciences in Philadelphia","Private not-for-profit",38556,1180,98.6,63,31
58.8,81.7,131,"University of Pittsburgh main campus","Public",69953,1255,93,67,5
64,68,25,"University of Scranton","Private not-for-profit",18625,1126,94.6,54,15
53.8,61.5,26,"Shippensburg University of Pennsylvania","Public",2452,992,95.7,79,22
94.9,98.3,59,"Swarthmore College","Private not-for-profit",812787,1419,99.1,87,7
36.9,65.5,252,"Temple University","Public",7201,1103,89.2,27,47
81.8,86.4,110,"Villanova University","Private not-for-profit",33422,1306,92.6,62,3
37.1,57.1,35,"West Chester University of Pennsylvania","Public",1054,1080,91.1,61,11
86.5,95.9,193,"Brown University","Private not-for-profit",265453,1415,96.4,89,7
63,66.7,27,"Bryant University","Private not-for-profit",34515,1142,95.8,71,9
46.2,56.9,65,"Johnson & Wales University (R.I.)","Private not-for-profit",11682,NA,91.6,56,44
36.4,69.1,55,"University of Rhode Island","Public",6571,1049,88.3,36,20
70.9,90.9,55,"Rhode Island School of Design","Private not-for-profit",110761,1238,100,16,9
37,59.3,27,"College of Charleston","Public",4408,1183,92.8,44,6
28.8,62.1,66,"Clemson University","Public",7441,1224,93.8,87,3
48,73.5,98,"University of South Carolina at Columbia","Public",12903,1196,92.7,63,14
20,40,30,"Austin Peay State University","Public",1741,990,74.4,34,81
18.2,48.5,66,"University of Memphis","Public",10437,990,73.5,49,80
11.6,43.5,69,"Middle Tennessee State University","Public",2408,1032,84.3,58,56
8.3,45.8,24,"Southern Adventist University","Private not-for-profit",8325,1025,85,97,49
20.6,41.2,34,"University of Tennessee at Chattanooga","Public",8300,1069,89.2,48,54
28.6,53.8,119,"University of Tennessee at Knoxville","Public",19869,1198,94.4,87,23
79.2,85.8,106,"Vanderbilt University","Private not-for-profit",261577,1430,99.3,82,7
88.6,88.6,35,"Austin College","Private not-for-profit",86593,1203,99.5,78,31
51.4,68.5,216,"Baylor University","Private not-for-profit",58861,1210,98.2,85,24
20,48,25,"Texas A&M University at Corpus Christi","Public",898,948,79.5,41,69
26.8,46.4,56,"Houston Baptist University","Private not-for-profit",31974,1078,89.2,48,67
4.7,12.9,85,"University of Houston-Downtown","Public",2095,NA,47.4,37,78
18.8,54.3,764,"University of Houston main campus","Public",15526,1079,72.8,93,54
10.5,34.2,38,"Lamar University","Public",1849,941,72.9,73,63
16,32,25,"Midwestern State University","Public",2759,1066,75.1,66,52
17,45.5,88,"University of North Texas","Public",3185,1093,78,68,31
41.2,67.6,34,"University of Texas-Pan American","Public",NA,920,73.8,98,95
91.8,98.2,110,"Rice University","Private not-for-profit",617569,1433,98.5,85,9
29.7,45.9,37,"University of St. Thomas (Tex.)","Private not-for-profit",21530,1137,76.4,48,43
28.6,57.1,21,"Sam Houston State University","Public",3177,993,83.6,76,44
73.7,82.9,76,"Southern Methodist University","Private not-for-profit",107966,1243,95.9,68,9
17.9,46.4,28,"Stephen F. Austin State University","Public",1167,970,84.6,72,74
17.5,47.5,40,"Texas State University at San Marcos","Public",3590,1063,81.4,69,42
49.2,79.4,262,"Texas A&M University at College Station","Public",7371,1217,91.7,99,8
15.9,44.2,276,"University of Texas at Arlington","Public",2801,1064,60.5,65,76
55.1,84.5,1210,"University of Texas at Austin","Public",56204,1241,92.6,89,19
48.5,73.8,237,"University of Texas at Dallas","Public",17068,1246,75.3,70,28
13,39.1,23,"University of Texas at El Paso","Public",9019,902,65.9,60,92
63.4,75.6,41,"Texas Christian University","Private not-for-profit",123312,1177,96,73,8
8,23.8,311,"University of Texas at San Antonio","Public",2508,1025,79.9,75,72
30.7,57,114,"Texas Tech University","Public",15493,1109,90.2,91,20
28.3,47.8,46,"Texas Woman's University","Public",2503,936,68.5,34,71
59.1,68.2,44,"Trinity University","Private not-for-profit",324595,1281,98.3,82,4
36.2,72.3,94,"Brigham Young University","Private not-for-profit",23102,1260,91.6,77,49
26.3,47.4,57,"Brigham Young University Hawaii","Private not-for-profit",24752,1097,89.3,49,37
15.6,43.8,32,"Utah State University","Public",13228,1109,84.6,97,64
23.7,59.9,152,"University of Utah","Public",18337,1114,70,83,21
88.6,94.3,35,"Middlebury College","Private not-for-profit",230665,1390,98.9,93,2
52.4,73.8,42,"University of Vermont","Public",22306,1188,89,82,7
86.7,91.6,83,"College of William and Mary","Public",68129,1347,99.1,80,0
34.2,52.6,38,"Christopher Newport University","Public",2616,1177,97,67,1
32.7,64.5,349,"George Mason University","Public",1807,1148,77.8,38,24
66.7,86.9,153,"James Madison University","Public",2617,1141,95.4,73,1
25.6,37.2,43,"Liberty University","Private not-for-profit",1230,NA,62.4,13,66
61.7,70.2,47,"University of Mary Washington","Public",7335,1170,88.1,46,1
26.3,60.5,38,"Marymount University","Private not-for-profit",6366,985,88.3,31,24
23.4,55.5,128,"Old Dominion University","Public",7120,1038,76.2,43,34
34,49.1,53,"Radford University","Public",4051,1006,95.9,66,17
90.3,93.5,31,"University of Richmond","Private not-for-profit",386919,1287,89.6,65,9
48.4,80.6,335,"Virginia Tech","Public",15911,1220,98.1,91,2
32.1,63.1,358,"Virginia Commonwealth University","Public",8325,1090,83.5,27,18
91,97,335,"University of Virginia","Public",157513,1336,94.5,97,0
82.6,82.6,23,"Washington and Lee University","Private not-for-profit",456181,1376,99.9,87,1
10.9,43.5,46,"Central Washington University","Public",1350,994,87.1,65,33
18.9,52.7,74,"Eastern Washington University","Public",2319,958,88.4,54,54
48,60,25,"Evergreen State College","Public",1360,1108,90.1,58,75
62.7,81.4,59,"Gonzaga University","Private not-for-profit",16529,1192,97.8,96,15
45.7,62.9,35,"Pacific Lutheran University","Private not-for-profit",18768,1131,95,92,33
69.2,84.6,52,"University of Puget Sound","Private not-for-profit",79595,1244,98.6,84,20
47.3,69.1,55,"Seattle Pacific University","Private not-for-profit",10477,1147,96.2,56,34
58.8,76.4,148,"Seattle University","Private not-for-profit",20509,1174,95.3,64,22
33.7,61.7,196,"Washington State University","Public",28144,1086,86.2,91,29
48.7,81.3,1422,"University of Washington","Public",42660,1216,87.4,70,11
35,69.1,220,"Western Washington University","Public",2888,1122,92.4,48,14
76.3,78.9,38,"Whitman College","Private not-for-profit",229482,1317,98.3,79,4
35.1,59.5,74,"West Virginia University","Public",10733,1056,93.3,73,21
60.8,73,74,"Marquette University","Private not-for-profit",29837,1203,95.1,59,11
21,37.1,62,"University of Wisconsin at Whitewater","Public",1084,1049,93.2,86,25
17.4,63,46,"University of Wisconsin at Eau Claire","Public",2677,1130,91.4,82,19
14.7,41.2,34,"University of Wisconsin at Green Bay","Public",42,1030,75.4,92,31
10.5,50.9,57,"University of Wisconsin at La Crosse","Public",1627,1150,93.5,79,10
11.9,37.3,59,"University of Wisconsin at Oshkosh","Public",1115,1030,77,57,26
26.9,46.2,26,"University of Wisconsin-Parkside","Public",905,970,72.6,44,71
14.6,36.6,41,"University of Wisconsin-Stout","Public",4009,1010,84.4,63,28
41.3,77.8,329,"University of Wisconsin at Madison","Public",48872,1264,91.6,80,2
5.2,27.7,191,"University of Wisconsin at Milwaukee","Public",2866,1010,82.9,56,37
17,35.8,53,"University of Wisconsin at River Falls","Public",1544,1030,92.1,56,29
14.3,53.6,28,"University of Wisconsin at Stevens Point","Public",1901,1070,93.7,86,42
82.2,95.7,393,"Stanford University","Private not-for-profit",920646,1451,99.3,72,11
31.4,65,369,"Purdue University at West Lafayette","Public",39139,1175,93.7,91,8
16.7,47.2,72,"California State University at San Marcos","Public",1922,966,75.3,22,36
4.8,11.3,62,"University of Phoenix Online","Private for-profit",NA,NA,100,3,24
90.9,90.9,22,"Soka University of America","Private not-for-profit",1070024,1170,100,75,24
4.2,4.2,24,"University of Phoenix-Southern California Campus","Private for-profit",NA,NA,100,7,14
7.3,48.8,41,"California State University-Monterey Bay","Public",2189,981,92.8,28,66
4.8,9.5,42,"University of Phoenix-Hawaii","Private for-profit",NA,NA,100,14,10
