"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
76.9,84.6,26,"Colorado College","Private not-for-profit",188202,1327,98.8,86,2
35.9,66.7,39,"Colorado School of Mines","Public",33884,1277,94.2,64,6
38.1,68.3,139,"Colorado State University","Public",7582,1131,86.4,73,13
53.8,75.4,65,"University of Denver","Private not-for-profit",30010,1226,90.8,49,11
6,22.9,83,"Metropolitan State College of Denver","Public",205,973,61.8,11,41
27.9,55,111,"University of Northern Colorado","Public",5979,1049,87.9,60,19
8.3,25,24,"Colorado State University at Pueblo","Public",1664,972,72.2,21,68
78.4,78.4,74,"United States Air Force Academy","Public",NA,1332,100,98,NA
10.5,39.5,38,"Central Connecticut State University","Public",0,1020,78.6,19,22
63.5,80.6,211,"University of Connecticut","Public",11190,1220,95.9,97,5
50,65.6,32,"University of Hartford","Private not-for-profit",14083,1090,85.4,29,32
55.2,69,29,"Quinnipiac University","Private not-for-profit",28624,1095,95.8,28,4
13.6,31.8,22,"Southern Connecticut State University","Public",1195,956,85.4,11,25
78.8,87.9,33,"Trinity College (Conn.)","Private not-for-profit",153289,1263,94.8,73,5
92.6,92.6,81,"Wesleyan University","Private not-for-profit",163180,1391,99.7,94,10
19.2,46.2,26,"Western Connecticut State University","Public",NA,990,82.3,13,13
91.1,95.6,180,"Yale University","Private not-for-profit",1420691,1472,99.5,85,6
51.6,72.6,124,"University of Delaware","Public",47019,1189,90.8,97,0
66,66,50,"American University","Private not-for-profit",32503,1280,96.4,55,6
42.9,60.7,28,"Catholic University of America","Private not-for-profit",33481,1106,93.7,49,4
74.9,82.1,235,"George Washington University","Private not-for-profit",64223,1287,92.7,42,4
92.6,96.6,149,"Georgetown University","Private not-for-profit",61421,1397,95.7,52,3
36,64.4,292,"University of Central Florida","Public",2169,1185,75.5,50,25
30,50,40,"Embry-Riddle Aeronautical University","Private not-for-profit",7139,1098,94.7,87,27
21.6,48.5,97,"Florida Atlantic University","Public",7203,1070,60.4,46,34
45.5,59.1,22,"Florida Institute of Technology","Private not-for-profit",6222,1166,72.2,26,56
15.6,46.7,122,"Florida International University","Public",4353,1079,63.4,36,81
53.2,77.8,171,"Florida State University","Public",12953,1195,89.8,68,23
62.8,86.4,514,"University of Florida","Public",21494,1264,93.3,89,31
84.4,90.6,32,"Full Sail University","Private for-profit",NA,NA,100,99,6
73.5,86,136,"University of Miami","Private not-for-profit",39587,1313,93,79,18
15.1,39.8,93,"University of North Florida","Public",4937,1118,73.1,52,25
52.1,60.4,48,"Nova Southeastern University","Private not-for-profit",1939,1051,69,25,60
26.1,57.4,272,"University of South Florida","Public",8082,1130,75.7,95,52
15.9,47.7,44,"University of West Florida","Public",4780,1072,72,36,62
14.3,38.1,21,"Armstrong Atlantic State University","Public",343,996,71.5,42,67
0,6.9,29,"Augusta State University","Public",40,965,74.5,33,75
8.1,32.4,37,"Clayton State University","Public",397,943,59.5,38,89
83.6,91,189,"Emory University","Private not-for-profit",361575,1390,98.8,78,17
36.8,81.5,389,"Georgia Institute of Technology","Public",16336,1320,91.5,90,3
9.8,26.8,41,"Georgia Southern University","Public",1874,1086,90,93,48
19.2,49.5,313,"Georgia State University","Public",4136,1084,74.7,74,73
50.4,75.8,252,"University of Georgia","Public",1751,1226,94,89,7
9.1,45.5,66,"Kennesaw State University","Public",1180,1060,76.5,36,35
25.8,54.8,31,"Mercer University","Private not-for-profit",19497,1159,84,73,51
